categorie,description,detail,annee,nombre_csq
pays,pays_de_naissance,z_-_non_disponible,2016,814
pays,pays_de_naissance,zambie,2016,12
pays,pays_de_naissance,zimbabwe,2016,27
pays,pays_de_naissance,égypte,2016,911
pays,pays_de_naissance,émirats_arabes_unis,2016,248
pays,pays_de_naissance,équateur,2016,39
pays,pays_de_naissance,érythrée,2016,92
pays,pays_de_naissance,états-unis,2016,990
pays,pays_de_naissance,éthiopie,2016,34
pays,pays_de_naissance,île_de_noël,2016,0
pays,pays_de_naissance,îles_caïmanes,2016,0
pays,pays_de_naissance,îles_comores,2016,6
pays,pays_de_naissance,îles_du_pacifique,2016,0
pays,pays_de_naissance,îles_mariannes_du_nord,2016,0
pays,pays_de_naissance,îles_marshall,2016,0
pays,pays_de_naissance,îles_salomon,2016,0
pays,pays_de_naissance,îles_turques_et_caïques,2016,0
pays,pays_de_naissance,îles_vierges_américaines,2016,0
refugies,réfugiés_reconnus_sur_place,famille_sur_place_d'un_réfugié_reconnu_sur_place,2016,179
refugies,réfugiés_reconnus_sur_place,famille_à_l'étranger_d'un_réfugié_reconnu_sur_place,2016,1751
refugies,réfugiés_reconnus_sur_place,réfugiés_reconnus_sur_place,2016,2132
refugies,réfugiés_sélectionnés_à_l'étranger,parrainage,2016,4396
refugies,réfugiés_sélectionnés_à_l'étranger,réfugiés_pris_en_charge_par_l'état,2016,3710
regroupement_familial,regroupement_familial,regroupement_familial,2016,14797
sexe,sexe,femmes,2016,37699
sexe,sexe,hommes,2016,37242
sexe,sexe,non_disponible,2016,0
age,groupe_age,00-19_ans,2017,18173
age,groupe_age,20-24_ans,2017,3535
age,groupe_age,25-34_ans,2017,18176
age,groupe_age,35-39_ans,2017,7839
age,groupe_age,40-44_ans,2017,4726
age,groupe_age,45-49_ans,2017,2741
age,groupe_age,50-54_ans,2017,1260
age,groupe_age,non_disponible,2017,0
age,groupe_age,plus_de_55_ans,2017,3054
autres_immigrants,autres_immigrants,autres_immigrants,2017,703
immigration_economique,autres_catégories_économiques,aides_familiaux,2017,389
immigration_economique,gens_d'affaires,entrepreneurs,2017,384
immigration_economique,gens_d'affaires,investisseurs,2017,5221
immigration_economique,gens_d'affaires,travailleurs_autonomes,2017,76
immigration_economique,travailleurs_qualifiés,autres_travailleurs_qualifiés,2017,6
immigration_economique,travailleurs_qualifiés,emploi_assuré,2017,0
immigration_economique,travailleurs_qualifiés,peq_travailleurs,2017,4402
immigration_economique,travailleurs_qualifiés,peq_étudiants,2017,4791
immigration_economique,travailleurs_qualifiés,programme_pilote,2017,0
immigration_economique,travailleurs_qualifiés,prtq,2017,21563
implication,type_d'implication,personne_à_charge,2017,27121
implication,type_d'implication,requérant_principal,2017,32384
mouvement_special,victimes_du_séisme_en_haïti,haïti_-_cas_humanitaires,2017,0
pays,pays_de_naissance,afghanistan,2017,818
pays,pays_de_naissance,afrique_du_sud,2017,59
pays,pays_de_naissance,albanie,2017,50
pays,pays_de_naissance,algérie,2017,4238
pays,pays_de_naissance,allemagne,2017,144
pays,pays_de_naissance,andorre,2017,0
pays,pays_de_naissance,angola,2017,31
pays,pays_de_naissance,antigua-et-barbuda,2017,0
pays,pays_de_naissance,antilles_néerlandaises,2017,0
pays,pays_de_naissance,apatrides,2017,0
pays,pays_de_naissance,arabie_saoudite,2017,407
pays,pays_de_naissance,argentine,2017,67
pays,pays_de_naissance,arménie,2017,46
pays,pays_de_naissance,aruba,2017,0
pays,pays_de_naissance,australie,2017,106
pays,pays_de_naissance,autres_afrique,2017,0
pays,pays_de_naissance,autres_asie,2017,0
pays,pays_de_naissance,autres_océanie,2017,0
pays,pays_de_naissance,autriche,2017,11
pays,pays_de_naissance,azerbaïdjan,2017,26
pays,pays_de_naissance,bahamas,2017,12
pays,pays_de_naissance,bahreïn,2017,11
pays,pays_de_naissance,bangladesh,2017,387
pays,pays_de_naissance,barbade,2017,7
pays,pays_de_naissance,belgique,2017,220
pays,pays_de_naissance,belize,2017,0
pays,pays_de_naissance,bermudes,2017,0
pays,pays_de_naissance,bhoutan,2017,6
pays,pays_de_naissance,bolivie,2017,6
pays,pays_de_naissance,bosnie-herzégovine,2017,14
pays,pays_de_naissance,botswana,2017,11
pays,pays_de_naissance,brunéi_darussalam,2017,0
pays,pays_de_naissance,brésil,2017,460
pays,pays_de_naissance,bulgarie,2017,36
pays,pays_de_naissance,burkina_faso,2017,386
pays,pays_de_naissance,burundi,2017,621
pays,pays_de_naissance,bélarus,2017,43
pays,pays_de_naissance,bénin,2017,711
pays,pays_de_naissance,cambodge,2017,97
pays,pays_de_naissance,cameroun,2017,3712
pays,pays_de_naissance,canada,2017,28
pays,pays_de_naissance,cap-vert,2017,0
pays,pays_de_naissance,chili,2017,79
pays,pays_de_naissance,chine,2017,6011
pays,pays_de_naissance,chypre,2017,0
pays,pays_de_naissance,cit._brit.,2017,0
pays,pays_de_naissance,colombie,2017,865
pays,pays_de_naissance,congo,2017,164
pays,pays_de_naissance,corée_du_nord,2017,0
pays,pays_de_naissance,corée_du_sud,2017,366
pays,pays_de_naissance,costa_rica,2017,64
pays,pays_de_naissance,croatie,2017,24
pays,pays_de_naissance,cuba,2017,367
pays,pays_de_naissance,curaçao,2017,0
pays,pays_de_naissance,côte_d'ivoire,2017,3281
pays,pays_de_naissance,danemark,2017,12
pays,pays_de_naissance,djibouti,2017,88
pays,pays_de_naissance,dominique,2017,0
pays,pays_de_naissance,el_salvador,2017,147
pays,pays_de_naissance,erreur!,2017,0
pays,pays_de_naissance,espagne,2017,89
pays,pays_de_naissance,estonie,2017,0
pays,pays_de_naissance,falkland,2017,0
pays,pays_de_naissance,fidji,2017,0
pays,pays_de_naissance,finlande,2017,9
pays,pays_de_naissance,france,2017,5495
pays,pays_de_naissance,gabon,2017,54
pays,pays_de_naissance,gambie,2017,11
pays,pays_de_naissance,ghana,2017,67
pays,pays_de_naissance,gibraltar,2017,0
pays,pays_de_naissance,grenade,2017,10
pays,pays_de_naissance,grèce,2017,61
pays,pays_de_naissance,guadeloupe,2017,38
pays,pays_de_naissance,guatemala,2017,91
pays,pays_de_naissance,guinée,2017,324
pays,pays_de_naissance,guinée-bissau,2017,0
pays,pays_de_naissance,guinée_équatoriale,2017,0
pays,pays_de_naissance,guyana,2017,6
pays,pays_de_naissance,guyane_française,2017,7
pays,pays_de_naissance,géorgie,2017,13
pays,pays_de_naissance,haïti,2017,1366
pays,pays_de_naissance,honduras,2017,59
pays,pays_de_naissance,hong_kong,2017,216
pays,pays_de_naissance,hongrie,2017,36
pays,pays_de_naissance,inde,2017,2688
pays,pays_de_naissance,indonésie,2017,44
pays,pays_de_naissance,iran,2017,1277
pays,pays_de_naissance,iraq,2017,276
pays,pays_de_naissance,irlande,2017,23
pays,pays_de_naissance,islande,2017,0
pays,pays_de_naissance,israël,2017,44
pays,pays_de_naissance,italie,2017,163
pays,pays_de_naissance,jamaïque,2017,53
pays,pays_de_naissance,japon,2017,93
pays,pays_de_naissance,"jersey,_bailliage_de",2017,0
pays,pays_de_naissance,jordanie,2017,95
pays,pays_de_naissance,kazakhstan,2017,59
pays,pays_de_naissance,kenya,2017,39
pays,pays_de_naissance,kirghizistan,2017,21
pays,pays_de_naissance,kosovo,2017,13
pays,pays_de_naissance,koweït,2017,107
pays,pays_de_naissance,laos,2017,0
pays,pays_de_naissance,lesotho,2017,0
pays,pays_de_naissance,lettonie,2017,6
pays,pays_de_naissance,liban,2017,808
pays,pays_de_naissance,libye,2017,87
pays,pays_de_naissance,libéria,2017,5
pays,pays_de_naissance,lituanie,2017,9
pays,pays_de_naissance,luxembourg,2017,7
pays,pays_de_naissance,macao,2017,0
pays,pays_de_naissance,macédoine,2017,0
pays,pays_de_naissance,madagascar,2017,186
pays,pays_de_naissance,malaisie,2017,29
pays,pays_de_naissance,malawi,2017,0
pays,pays_de_naissance,maldives,2017,0
pays,pays_de_naissance,mali,2017,218
pays,pays_de_naissance,malte,2017,0
pays,pays_de_naissance,maroc,2017,2655
pays,pays_de_naissance,martinique,2017,42
pays,pays_de_naissance,maurice,2017,511
pays,pays_de_naissance,mauritanie,2017,49
pays,pays_de_naissance,mayotte,2017,0
pays,pays_de_naissance,mexique,2017,499
pays,pays_de_naissance,micronésie,2017,0
pays,pays_de_naissance,moldova,2017,165
pays,pays_de_naissance,monaco,2017,8
pays,pays_de_naissance,mongolie,2017,18
pays,pays_de_naissance,monténégro,2017,5
pays,pays_de_naissance,mozambique,2017,6
pays,pays_de_naissance,myanmar,2017,11
pays,pays_de_naissance,namibie,2017,5
pays,pays_de_naissance,nicaragua,2017,32
pays,pays_de_naissance,niger,2017,55
pays,pays_de_naissance,nigéria,2017,261
pays,pays_de_naissance,norvège,2017,9
pays,pays_de_naissance,nouvelle-calédonie,2017,14
pays,pays_de_naissance,nouvelle-zélande,2017,11
pays,pays_de_naissance,népal,2017,99
pays,pays_de_naissance,oman,2017,6
pays,pays_de_naissance,ouganda,2017,29
pays,pays_de_naissance,ouzbékistan,2017,14
pays,pays_de_naissance,pakistan,2017,842
pays,pays_de_naissance,palestine,2017,27
pays,pays_de_naissance,panama,2017,12
pays,pays_de_naissance,papouasie-nouvelle-guinée,2017,0
pays,pays_de_naissance,paraguay,2017,0
pays,pays_de_naissance,pays-bas,2017,42
pays,pays_de_naissance,philippines,2017,1157
pays,pays_de_naissance,pologne,2017,55
pays,pays_de_naissance,polynésie_française,2017,24
pays,pays_de_naissance,porto_rico,2017,0
pays,pays_de_naissance,portugal,2017,47
pays,pays_de_naissance,pérou,2017,170
pays,pays_de_naissance,qatar,2017,45
pays,pays_de_naissance,roumanie,2017,185
pays,pays_de_naissance,royaume-uni,2017,220
pays,pays_de_naissance,russie,2017,222
pays,pays_de_naissance,rwanda,2017,274
pays,pays_de_naissance,rép._centrafricaine,2017,70
pays,pays_de_naissance,rép._dominicaine,2017,294
pays,pays_de_naissance,rép._du_soudan_du_sud,2017,0
pays,pays_de_naissance,rép._dém._du_congo,2017,976
pays,pays_de_naissance,rép._tchèque,2017,5
pays,pays_de_naissance,réunion,2017,48
pays,pays_de_naissance,sahara_occidental,2017,0
pays,pays_de_naissance,saint-kitts-et-nevis,2017,0
pays,pays_de_naissance,saint-marin,2017,0
pays,pays_de_naissance,saint-martin,2017,0
pays,pays_de_naissance,saint-pierre-et-miquelon,2017,0
pays,pays_de_naissance,saint-vincent-et-les_grenadines,2017,87
pays,pays_de_naissance,sainte-lucie,2017,15
pays,pays_de_naissance,samoa,2017,0
pays,pays_de_naissance,sao_tomé-et-principe,2017,0
pays,pays_de_naissance,serbie,2017,13
pays,pays_de_naissance,serbie-et-monténégro,2017,0
pays,pays_de_naissance,seychelles,2017,0
pays,pays_de_naissance,sierra_leone,2017,5
pays,pays_de_naissance,singapour,2017,34
pays,pays_de_naissance,slovaquie,2017,12
pays,pays_de_naissance,slovénie,2017,0
pays,pays_de_naissance,somalie,2017,13
pays,pays_de_naissance,soudan,2017,59
pays,pays_de_naissance,sri_lanka,2017,137
pays,pays_de_naissance,suisse,2017,100
pays,pays_de_naissance,suriname,2017,0
pays,pays_de_naissance,suède,2017,20
pays,pays_de_naissance,swaziland,2017,0
pays,pays_de_naissance,syrie,2017,3531
pays,pays_de_naissance,sénégal,2017,679
pays,pays_de_naissance,tadjikistan,2017,10
pays,pays_de_naissance,tanzanie,2017,127
pays,pays_de_naissance,taïwan,2017,147
pays,pays_de_naissance,tchad,2017,130
pays,pays_de_naissance,tchécoslovaquie,2017,0
pays,pays_de_naissance,thaïlande,2017,92
pays,pays_de_naissance,tibet,2017,0
pays,pays_de_naissance,timor-leste,2017,0
pays,pays_de_naissance,togo,2017,550
pays,pays_de_naissance,tonga,2017,0
pays,pays_de_naissance,trinité-et-tobago,2017,16
pays,pays_de_naissance,tunisie,2017,2198
pays,pays_de_naissance,turkménistan,2017,9
pays,pays_de_naissance,turquie,2017,291
pays,pays_de_naissance,ukraine,2017,195
pays,pays_de_naissance,union_soviétique,2017,94
pays,pays_de_naissance,uruguay,2017,7
pays,pays_de_naissance,vanuatu,2017,0
pays,pays_de_naissance,venezuela,2017,360
pays,pays_de_naissance,vietnam,2017,415
pays,pays_de_naissance,wallis-et-futuna,2017,0
pays,pays_de_naissance,yougoslavie,2017,5
pays,pays_de_naissance,yémen,2017,36
pays,pays_de_naissance,z_-_non_disponible,2017,31
pays,pays_de_naissance,zambie,2017,8
pays,pays_de_naissance,zimbabwe,2017,22
pays,pays_de_naissance,égypte,2017,650
pays,pays_de_naissance,émirats_arabes_unis,2017,364
pays,pays_de_naissance,équateur,2017,69
pays,pays_de_naissance,érythrée,2017,164
pays,pays_de_naissance,états-unis,2017,932
pays,pays_de_naissance,éthiopie,2017,48
pays,pays_de_naissance,île_de_noël,2017,0
pays,pays_de_naissance,îles_caïmanes,2017,0
pays,pays_de_naissance,îles_comores,2017,6
pays,pays_de_naissance,îles_du_pacifique,2017,0
pays,pays_de_naissance,îles_mariannes_du_nord,2017,0
pays,pays_de_naissance,îles_marshall,2017,0
pays,pays_de_naissance,îles_salomon,2017,0
pays,pays_de_naissance,îles_turques_et_caïques,2017,0
pays,pays_de_naissance,îles_vierges_américaines,2017,0
refugies,réfugiés_reconnus_sur_place,famille_sur_place_d'un_réfugié_reconnu_sur_place,2017,42
refugies,réfugiés_reconnus_sur_place,famille_à_l'étranger_d'un_réfugié_reconnu_sur_place,2017,461
refugies,réfugiés_reconnus_sur_place,réfugiés_reconnus_sur_place,2017,2192
refugies,réfugiés_sélectionnés_à_l'étranger,parrainage,2017,5379
refugies,réfugiés_sélectionnés_à_l'étranger,réfugiés_pris_en_charge_par_l'état,2017,958
regroupement_familial,regroupement_familial,regroupement_familial,2017,12935
sexe,sexe,femmes,2017,29288
sexe,sexe,hommes,2017,30217
sexe,sexe,non_disponible,2017,0
age,groupe_age,00-19_ans,2018,15135
age,groupe_age,20-24_ans,2018,3610
age,groupe_age,25-34_ans,2018,15806
age,groupe_age,35-39_ans,2018,6513
age,groupe_age,40-44_ans,2018,3948
age,groupe_age,45-49_ans,2018,2447
age,groupe_age,50-54_ans,2018,1357
age,groupe_age,non_disponible,2018,0
age,groupe_age,plus_de_55_ans,2018,3104
autres_immigrants,autres_immigrants,autres_immigrants,2018,407
immigration_economique,autres_catégories_économiques,aides_familiaux,2018,485
immigration_economique,gens_d'affaires,entrepreneurs,2018,39
immigration_economique,gens_d'affaires,investisseurs,2018,5079
immigration_economique,gens_d'affaires,travailleurs_autonomes,2018,0
immigration_economique,travailleurs_qualifiés,autres_travailleurs_qualifiés,2018,11
immigration_economique,travailleurs_qualifiés,emploi_assuré,2018,0
immigration_economique,travailleurs_qualifiés,peq_travailleurs,2018,5566
immigration_economique,travailleurs_qualifiés,peq_étudiants,2018,5146
immigration_economique,travailleurs_qualifiés,programme_pilote,2018,0
immigration_economique,travailleurs_qualifiés,prtq,2018,12526
implication,type_d'implication,personne_à_charge,2018,22925
implication,type_d'implication,requérant_principal,2018,28996
mouvement_special,victimes_du_séisme_en_haïti,haïti_-_cas_humanitaires,2018,0
pays,pays_de_naissance,afghanistan,2018,483
pays,pays_de_naissance,afrique_du_sud,2018,36
pays,pays_de_naissance,albanie,2018,73
pays,pays_de_naissance,algérie,2018,3127
pays,pays_de_naissance,allemagne,2018,128
pays,pays_de_naissance,andorre,2018,0
pays,pays_de_naissance,angola,2018,45
pays,pays_de_naissance,antigua-et-barbuda,2018,0
pays,pays_de_naissance,antilles_néerlandaises,2018,0
pays,pays_de_naissance,apatrides,2018,0
pays,pays_de_naissance,arabie_saoudite,2018,537
pays,pays_de_naissance,argentine,2018,52
pays,pays_de_naissance,arménie,2018,36
pays,pays_de_naissance,aruba,2018,0
pays,pays_de_naissance,australie,2018,73
pays,pays_de_naissance,autres_afrique,2018,0
