categorie,detail,annee,nombre
Principaux pays de naissance (ordre de 2022),Colombie,2021,1635
Principaux pays de naissance (ordre de 2022),Colombie,2022,2305
Principaux pays de naissance (ordre de 2022),Tunisie,2018,1130
Principaux pays de naissance (ordre de 2022),Tunisie,2019,1325
Principaux pays de naissance (ordre de 2022),Tunisie,2020,1180
Principaux pays de naissance (ordre de 2022),Tunisie,2021,1615
Principaux pays de naissance (ordre de 2022),Tunisie,2022,2135
Principaux pays de naissance (ordre de 2022),Cameroun,2018,735
Principaux pays de naissance (ordre de 2022),Cameroun,2019,935
Principaux pays de naissance (ordre de 2022),Cameroun,2020,680
Principaux pays de naissance (ordre de 2022),Cameroun,2021,1150
Principaux pays de naissance (ordre de 2022),Cameroun,2022,1860
Principaux pays de naissance (ordre de 2022),Brésil,2018,1070
Principaux pays de naissance (ordre de 2022),Brésil,2019,1180
Principaux pays de naissance (ordre de 2022),Brésil,2020,700
Principaux pays de naissance (ordre de 2022),Brésil,2021,1140
Principaux pays de naissance (ordre de 2022),Brésil,2022,1745
Principaux pays de naissance (ordre de 2022),Autres pays,2018,14390
Principaux pays de naissance (ordre de 2022),Autres pays,2019,16335
Principaux pays de naissance (ordre de 2022),Autres pays,2020,11380
Principaux pays de naissance (ordre de 2022),Autres pays,2021,20695
Principaux pays de naissance (ordre de 2022),Autres pays,2022,22050
Principaux pays de naissance (ordre de 2022),Total (personnes uniques),2018,43980
Principaux pays de naissance (ordre de 2022),Total (personnes uniques),2019,57025
Principaux pays de naissance (ordre de 2022),Total (personnes uniques),2020,42260
Principaux pays de naissance (ordre de 2022),Total (personnes uniques),2021,62785
Principaux pays de naissance (ordre de 2022),Total (personnes uniques),2022,62400
